id;title;link;regular_price;promotional_price;brand
232419;Кофе Jardin Guatemala Atitlan растворимый, 190г;https://online.metro-cc.ru/products/190g-kofe-jardin-guatemala-atitlan-rastvorimyy-stb;779;779;JARDIN
228230;Кофе Jardin Original Oro молотый, 250г;https://online.metro-cc.ru/products/250g-kofe-jardin-original-oro-molotyy;569;569;JARDIN
373043;Кофе Jardin Dessert Сup молотый натуральный жареный, 250г;https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-dessert-sup-250g;499;499;JARDIN
119134;Кофе Jardin Columbia Supremo молотый, 250г;https://online.metro-cc.ru/products/250g-jardin-kolumbiya-supremo-mol;589;589;JARDIN
232417;Кофе Jardin Colombia Medellin растворимый, 240г;https://online.metro-cc.ru/products/240g-kofe-jardin-colombia-medellin-rastvorimyy;919;919;JARDIN
228234;Кофе Jardin Gold растворимый, 240г;https://online.metro-cc.ru/products/240g-kofe-jardin-gold-rastvorimyy;839;839;JARDIN
615407;Кофе Jardin Americano Crema натуральный жареный молотый, 250г;https://online.metro-cc.ru/products/jardin-almericano-crema-naturalnyj-zharenyj-250g;469;469;JARDIN
599071;Кофе Jardin Kenya Kilimanjaro растворимый сублимированный, 150г;https://online.metro-cc.ru/products/jardin-kenya-kilimanjaro-sublimirovannyj-150g;529;529;JARDIN
228235;Кофе Jardin Gold растворимый, 190г;https://online.metro-cc.ru/products/190g-kofe-jardin-gold-rastvorimyy-stb;709;499;JARDIN
228237;Кофе Jardin Kenya Kilimanjaro растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-keniya-kilimandzharo-rastvorimyy;229;199;JARDIN
228238;Кофе Jardin Гватемала Атитлан растворимый, 75г;https://online.metro-cc.ru/products/75g-kofe-jardin-gvatemala-atitlan-rastvorimyy;229;199;JARDIN
220015;Кофе Julius Meinl Espresso Gran Aroma в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-gran-aroma-zerno;1859;1859;JULIUS MEINL
220013;Кофе Julius Meinl Cafe Crema Gourmet в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-cafe-crema-gourmet-zerno;1859;1859;JULIUS MEINL
220012;Кофе Julius Meinl Espresso Deluxe в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-julius-meinl-espresso-deluxe-zerno;2379;2379;JULIUS MEINL
654818;Кофе Julius Meinl Сaffe Crema Premium Collection в зернах, 1кг;https://online.metro-cc.ru/products/julius-meinl-krema-premium-1kg;2089;2089;JULIUS MEINL
62828;Кофе Julius Meinl Президент классическая коллекция в зернах, 1кг;https://online.metro-cc.ru/products/julius-meinl-prezident-1000g;2039;2039;JULIUS MEINL
77948;Кофе Julius Meinl Эспрессо в зернах, 500г;https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-grande-espresso-500g;1459;1459;JULIUS MEINL
654820;Кофе Julius Meinl Caffe Crema Intenso Trend Collection в зернах, 1кг;https://online.metro-cc.ru/products/v-zernah-julius-meinl-krema-intenso-trend-kollekciya-1000g;1749;1749;JULIUS MEINL
395462;Кофе Julius Meinl Президент в зернах, 500г;https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-500g;959;959;JULIUS MEINL
666415;Кофе Julius Meinl Юбилейный молотый, 250г;https://online.metro-cc.ru/products/yubilejnyj-julius-meinl-250-g;589;449;JULIUS MEINL
234393;Кофе Julius Meinl Melange Венская коллекция молотый, 220г;https://online.metro-cc.ru/products/kofe-julius-meinl-melange-venskaya-kollektsiya-molotyy-220g;719;719;JULIUS MEINL
234392;Кофе Julius Meinl без кофеина зерновой, 500г;https://online.metro-cc.ru/products/kofe-julius-meinl-bez-kofeina-zernovoy-500g;1809;1809;JULIUS MEINL
654817;Кофе Julius Meinl Trend Collection Espresso Classico в зернах, 1кг;https://online.metro-cc.ru/products/julius-meinl-espresso-trend-1kg;2099;2099;JULIUS MEINL
